id,date,week,timeSlot,holiday,rrr,windSpeed,Vt6,Vt5,Vt4,Vt3,Vt2,Vt1,Vt
7,1,2,7,0,0,7.2,52.17,54.4,61.66,56.1,53.71,53.16,48.73
8,1,2,8,0,0,7.2,54.4,61.66,56.1,53.71,53.16,48.73,51.73
9,1,2,9,0,0,7.2,61.66,56.1,53.71,53.16,48.73,51.73,52.47
10,1,2,10,0,0,7.2,56.1,53.71,53.16,48.73,51.73,52.47,55.27
11,1,2,11,0,0,7.2,53.71,53.16,48.73,51.73,52.47,55.27,53.54
12,1,2,12,0,0,7.2,53.16,48.73,51.73,52.47,55.27,53.54,53.47
13,1,2,13,0,0,7.2,48.73,51.73,52.47,55.27,53.54,53.47,54.99
14,1,2,14,0,0,7.2,51.73,52.47,55.27,53.54,53.47,54.99,55.79
15,1,2,15,0,0,7.2,52.47,55.27,53.54,53.47,54.99,55.79,56.2
16,1,2,16,0,0,7.2,55.27,53.54,53.47,54.99,55.79,56.2,53.28
17,1,2,17,0,0,7.2,53.54,53.47,54.99,55.79,56.2,53.28,53.13
18,1,2,18,0,0,7.2,53.47,54.99,55.79,56.2,53.28,53.13,58.61
19,1,2,19,0,0,7.2,54.99,55.79,56.2,53.28,53.13,58.61,51.6
20,1,2,20,0,0,7.2,55.79,56.2,53.28,53.13,58.61,51.6,62.42
21,1,2,21,0,0,7.2,56.2,53.28,53.13,58.61,51.6,62.42,55.68
22,1,2,22,0,0,7.2,53.28,53.13,58.61,51.6,62.42,55.68,47.95
23,1,2,23,0,0,7.2,53.13,58.61,51.6,62.42,55.68,47.95,50.92
24,1,2,24,0,0,7.2,58.61,51.6,62.42,55.68,47.95,50.92,53.33
25,1,2,25,0,0,7.2,51.6,62.42,55.68,47.95,50.92,53.33,68.5
26,1,2,26,0,0,7.2,62.42,55.68,47.95,50.92,53.33,68.5,57.33
27,1,2,27,0,0,7.2,55.68,47.95,50.92,53.33,68.5,57.33,55.95
28,1,2,28,0,0,7.2,47.95,50.92,53.33,68.5,57.33,55.95,51.53
29,1,2,29,0,0,7.2,50.92,53.33,68.5,57.33,55.95,51.53,47.1
30,1,2,30,0,0,7.2,53.33,68.5,57.33,55.95,51.53,47.1,55.24
31,1,2,31,0,0,7.2,68.5,57.33,55.95,51.53,47.1,55.24,46.81
32,1,2,32,0,0,7.2,57.33,55.95,51.53,47.1,55.24,46.81,57.53
33,1,2,33,0,0,7.2,55.95,51.53,47.1,55.24,46.81,57.53,50.8
34,1,2,34,0,0,7.2,51.53,47.1,55.24,46.81,57.53,50.8,35.2
35,1,2,35,0,0,7.2,47.1,55.24,46.81,57.53,50.8,35.2,53.8
36,1,2,36,0,0,7.2,55.24,46.81,57.53,50.8,35.2,53.8,56
37,1,2,37,0,0,7.2,46.81,57.53,50.8,35.2,53.8,56,42.6
38,1,2,38,0,0,7.2,57.53,50.8,35.2,53.8,56,42.6,46.4
39,1,2,39,0,0,7.2,50.8,35.2,53.8,56,42.6,46.4,48
40,1,2,40,0,0,7.2,35.2,53.8,56,42.6,46.4,48,49.6
41,1,2,41,0,0,7.2,53.8,56,42.6,46.4,48,49.6,51.8
42,1,2,42,0,0,7.2,56,42.6,46.4,48,49.6,51.8,52.9
43,1,2,43,0,0,7.2,42.6,46.4,48,49.6,51.8,52.9,53.45
44,1,2,44,0,0,7.2,46.4,48,49.6,51.8,52.9,53.45,54
45,1,2,45,0,0,7.2,48,49.6,51.8,52.9,53.45,54,53.2
46,1,2,46,0,0,7.2,49.6,51.8,52.9,53.45,54,53.2,52.79
47,1,2,47,0,0,7.2,51.8,52.9,53.45,54,53.2,52.79,52.39
48,1,2,48,0,0,7.2,52.9,53.45,54,53.2,52.79,52.39,34.56
49,1,2,49,0,0,7.2,53.45,54,53.2,52.79,52.39,34.56,46.68
50,1,2,50,0,0,7.2,54,53.2,52.79,52.39,34.56,46.68,58.8
51,1,2,51,0,0,7.2,53.2,52.79,52.39,34.56,46.68,58.8,39.6
52,1,2,52,0,0,7.2,52.79,52.39,34.56,46.68,58.8,39.6,55.2
53,1,2,53,0,0,7.2,52.39,34.56,46.68,58.8,39.6,55.2,57.33
54,1,2,54,0,0,7.2,34.56,46.68,58.8,39.6,55.2,57.33,49.4
55,1,2,55,0,0,7.2,46.68,58.8,39.6,55.2,57.33,49.4,64.4
56,1,2,56,0,0,7.2,58.8,39.6,55.2,57.33,49.4,64.4,52.73
57,1,2,57,0,0,7.2,39.6,55.2,57.33,49.4,64.4,52.73,63.14
58,1,2,58,0,0,7.2,55.2,57.33,49.4,64.4,52.73,63.14,59.96
59,1,2,59,0,0,7.2,57.33,49.4,64.4,52.73,63.14,59.96,56.77
60,1,2,60,0,0,7.2,49.4,64.4,52.73,63.14,59.96,56.77,52.4
61,1,2,61,0,0,7.2,64.4,52.73,63.14,59.96,56.77,52.4,60.4
62,1,2,62,0,0,7.2,52.73,63.14,59.96,56.77,52.4,60.4,58
63,1,2,63,0,0,7.2,63.14,59.96,56.77,52.4,60.4,58,56.8
64,1,2,64,0,0,7.2,59.96,56.77,52.4,60.4,58,56.8,55.6
65,1,2,65,0,0,7.2,56.77,52.4,60.4,58,56.8,55.6,50.39
66,1,2,66,0,0,7.2,52.4,60.4,58,56.8,55.6,50.39,47.36
67,1,2,67,0,0,7.2,60.4,58,56.8,55.6,50.39,47.36,32.76
68,1,2,68,0,0,7.2,58,56.8,55.6,50.39,47.36,32.76,51.6
69,1,2,69,0,0,7.2,56.8,55.6,50.39,47.36,32.76,51.6,49.35
70,1,2,70,0,0,7.2,55.6,50.39,47.36,32.76,51.6,49.35,52.56
71,1,2,71,0,0,7.2,50.39,47.36,32.76,51.6,49.35,52.56,55.77
72,1,2,72,0,0,7.2,47.36,32.76,51.6,49.35,52.56,55.77,40.5
73,1,2,73,0,0,3.6,32.76,51.6,49.35,52.56,55.77,40.5,47.91
