id,date,week,timeSlot,holiday,rrr,windSpeed,Vt6,Vt5,Vt4,Vt3,Vt2,Vt1,Vt
7,1,2,7,0,0,7.2,40.08,41.5,42.93,41.8,37.2,43.61,50.01
8,1,2,8,0,0,7.2,41.5,42.93,41.8,37.2,43.61,50.01,50.14
9,1,2,9,0,0,7.2,42.93,41.8,37.2,43.61,50.01,50.14,50.75
10,1,2,10,0,0,7.2,41.8,37.2,43.61,50.01,50.14,50.75,49.44
11,1,2,11,0,0,7.2,37.2,43.61,50.01,50.14,50.75,49.44,39.78
12,1,2,12,0,0,7.2,43.61,50.01,50.14,50.75,49.44,39.78,40.09
13,1,2,13,0,0,7.2,50.01,50.14,50.75,49.44,39.78,40.09,40.4
14,1,2,14,0,0,7.2,50.14,50.75,49.44,39.78,40.09,40.4,50
15,1,2,15,0,0,7.2,50.75,49.44,39.78,40.09,40.4,50,37.4
16,1,2,16,0,0,7.2,49.44,39.78,40.09,40.4,50,37.4,46.6
17,1,2,17,0,0,7.2,39.78,40.09,40.4,50,37.4,46.6,44.2
18,1,2,18,0,0,7.2,40.09,40.4,50,37.4,46.6,44.2,43.35
19,1,2,19,0,0,7.2,40.4,50,37.4,46.6,44.2,43.35,51.3
20,1,2,20,0,0,7.2,50,37.4,46.6,44.2,43.35,51.3,51.6
21,1,2,21,0,0,7.2,37.4,46.6,44.2,43.35,51.3,51.6,37.6
22,1,2,22,0,0,7.2,46.6,44.2,43.35,51.3,51.6,37.6,23.6
23,1,2,23,0,0,7.2,44.2,43.35,51.3,51.6,37.6,23.6,53.92
24,1,2,24,0,0,7.2,43.35,51.3,51.6,37.6,23.6,53.92,52.56
25,1,2,25,0,0,7.2,51.3,51.6,37.6,23.6,53.92,52.56,51.88
26,1,2,26,0,0,7.2,51.6,37.6,23.6,53.92,52.56,51.88,51.2
27,1,2,27,0,0,7.2,37.6,23.6,53.92,52.56,51.88,51.2,35.1
28,1,2,28,0,0,7.2,23.6,53.92,52.56,51.88,51.2,35.1,42.55
29,1,2,29,0,0,7.2,53.92,52.56,51.88,51.2,35.1,42.55,46.28
30,1,2,30,0,0,7.2,52.56,51.88,51.2,35.1,42.55,46.28,48.14
31,1,2,31,0,0,7.2,51.88,51.2,35.1,42.55,46.28,48.14,50
32,1,2,32,0,0,7.2,51.2,35.1,42.55,46.28,48.14,50,43.96
33,1,2,33,0,0,7.2,35.1,42.55,46.28,48.14,50,43.96,42
34,1,2,34,0,0,7.2,42.55,46.28,48.14,50,43.96,42,46.9
35,1,2,35,0,0,7.2,46.28,48.14,50,43.96,42,46.9,49.35
36,1,2,36,0,0,7.2,48.14,50,43.96,42,46.9,49.35,51.8
37,1,2,37,0,0,7.2,50,43.96,42,46.9,49.35,51.8,53.15
38,1,2,38,0,0,7.2,43.96,42,46.9,49.35,51.8,53.15,54.5
39,1,2,39,0,0,7.2,42,46.9,49.35,51.8,53.15,54.5,6.55
40,1,2,40,0,0,7.2,46.9,49.35,51.8,53.15,54.5,6.55,28.28
41,1,2,41,0,0,7.2,49.35,51.8,53.15,54.5,6.55,28.28,39.14
42,1,2,42,0,0,7.2,51.8,53.15,54.5,6.55,28.28,39.14,50
43,1,2,43,0,0,7.2,53.15,54.5,6.55,28.28,39.14,50,45.8
44,1,2,44,0,0,7.2,54.5,6.55,28.28,39.14,50,45.8,43.7
45,1,2,45,0,0,7.2,6.55,28.28,39.14,50,45.8,43.7,42.65
46,1,2,46,0,0,7.2,28.28,39.14,50,45.8,43.7,42.65,42.13
47,1,2,47,0,0,7.2,39.14,50,45.8,43.7,42.65,42.13,41.86
48,1,2,48,0,0,7.2,50,45.8,43.7,42.65,42.13,41.86,41.73
49,1,2,49,0,0,7.2,45.8,43.7,42.65,42.13,41.86,41.73,41.6
50,1,2,50,0,0,7.2,43.7,42.65,42.13,41.86,41.73,41.6,52.8
51,1,2,51,0,0,7.2,42.65,42.13,41.86,41.73,41.6,52.8,38.4
52,1,2,52,0,0,7.2,42.13,41.86,41.73,41.6,52.8,38.4,38.47
53,1,2,53,0,0,7.2,41.86,41.73,41.6,52.8,38.4,38.47,38.53
54,1,2,54,0,0,7.2,41.73,41.6,52.8,38.4,38.47,38.53,43.27
55,1,2,55,0,0,7.2,41.6,52.8,38.4,38.47,38.53,43.27,48
